x-axis,1,2,3,4
second,Ampere,Volt,Volt,Volt
-18.70000E-03,+416.74995E-03,-9.68000031E+00,+3.25499916E+00,+15.11999893E+00
-18.65000E-03,+385.49995E-03,-5.93000031E+00,-495.00084E-03,+4.49499893E+00
-18.60000E-03,+510.49995E-03,-5.30500031E+00,-495.00084E-03,+3.86999893E+00
-18.55000E-03,+635.49995E-03,-2.80500031E+00,-2.37000084E+00,-3.00500107E+00
-18.50000E-03,+666.74995E-03,-10.30500031E+00,+2.00499916E+00,+15.74499893E+00
-18.45000E-03,+354.24995E-03,-10.30500031E+00,+2.00499916E+00,+15.74499893E+00
-18.40000E-03,+416.74995E-03,-5.30500031E+00,-1.12000084E+00,+4.49499893E+00
-18.35000E-03,+541.74995E-03,-2.18000031E+00,-2.37000084E+00,-3.00500107E+00
-18.30000E-03,+666.74995E-03,-2.80500031E+00,-2.99500084E+00,-2.38000107E+00
-18.25000E-03,+541.74995E-03,-10.30500031E+00,+2.00499916E+00,+16.36999893E+00
-18.20000E-03,+354.24995E-03,-10.93000031E+00,+2.62999916E+00,+16.36999893E+00
-18.15000E-03,+447.99995E-03,-5.30500031E+00,-1.12000084E+00,+5.11999893E+00
-18.10000E-03,+604.24995E-03,-2.18000031E+00,-2.37000084E+00,-3.63000107E+00
-18.05000E-03,+947.99995E-03,-2.80500031E+00,-1.74500084E+00,-2.38000107E+00
-18.00000E-03,+697.99995E-03,-8.43000031E+00,-6.74500084E+00,+18.86999893E+00
-17.95000E-03,+604.24995E-03,-4.68000031E+00,-3.62000084E+00,+3.24499893E+00
-17.90000E-03,+822.99995E-03,-2.80500031E+00,-1.12000084E+00,-1.75500107E+00
-17.85000E-03,+1.01049995E+00,-2.18000031E+00,-495.00084E-03,-3.00500107E+00
-17.80000E-03,+1.22924995E+00,-2.80500031E+00,-1.74500084E+00,-3.00500107E+00
-17.75000E-03,+666.74995E-03,-8.43000031E+00,-6.74500084E+00,+18.86999893E+00
-17.70000E-03,+666.74995E-03,-2.18000031E+00,-495.00084E-03,-2.38000107E+00
-17.65000E-03,+885.49995E-03,-2.18000031E+00,-1.12000084E+00,-2.38000107E+00
-17.60000E-03,+1.07299995E+00,-2.80500031E+00,-495.00084E-03,-1.75500107E+00
-17.55000E-03,+1.07299995E+00,-7.80500031E+00,-6.12000084E+00,+19.49499893E+00
-17.50000E-03,+604.24995E-03,-7.80500031E+00,-6.12000084E+00,+18.86999893E+00
-17.45000E-03,+666.74995E-03,-2.18000031E+00,-1.12000084E+00,-2.38000107E+00
-17.40000E-03,+916.74995E-03,-2.18000031E+00,-1.12000084E+00,-2.38000107E+00
-17.35000E-03,+1.13549995E+00,-2.18000031E+00,-1.12000084E+00,-1.75500107E+00
-17.30000E-03,+916.74995E-03,-7.80500031E+00,-6.74500084E+00,+19.49499893E+00
-17.25000E-03,+572.99995E-03,-7.18000031E+00,-6.74500084E+00,+20.11999893E+00
-17.20000E-03,+791.74995E-03,-1.55500031E+00,-1.12000084E+00,-1.75500107E+00
-17.15000E-03,+979.24995E-03,-2.18000031E+00,-1.12000084E+00,-2.38000107E+00
-17.10000E-03,+1.16674995E+00,-930.00031E-03,-495.00084E-03,-2.38000107E+00
-17.05000E-03,+729.24995E-03,-7.18000031E+00,-6.12000084E+00,+20.11999893E+00
-17.00000E-03,+604.24995E-03,-4.05500031E+00,-2.37000084E+00,+5.74499893E+00
-16.95000E-03,+854.24995E-03,-2.18000031E+00,-495.00084E-03,-1.75500107E+00
-16.90000E-03,+1.07299995E+00,-1.55500031E+00,-495.00084E-03,-1.75500107E+00
-16.85000E-03,+1.13549995E+00,-930.00031E-03,-7.99500084E+00,+18.24499893E+00
-16.80000E-03,+604.24995E-03,-1.55500031E+00,-7.99500084E+00,+18.24499893E+00
-16.75000E-03,+541.74995E-03,-3.43000031E+00,-1.74500084E+00,+3.24499893E+00
-16.70000E-03,+729.24995E-03,-2.18000031E+00,-495.00084E-03,-1.13000107E+00
-16.65000E-03,+854.24995E-03,-1.55500031E+00,-1.74500084E+00,-2.38000107E+00
-16.60000E-03,+760.49995E-03,+319.99969E-03,-7.99500084E+00,+17.61999893E+00
-16.55000E-03,+447.99995E-03,+1.56999969E+00,-7.99500084E+00,+18.24499893E+00
-16.50000E-03,+510.49995E-03,-2.80500031E+00,-2.37000084E+00,+3.86999893E+00
-16.45000E-03,+666.74995E-03,-2.18000031E+00,+129.99916E-03,-1.75500107E+00
-16.40000E-03,+760.49995E-03,-2.18000031E+00,-1.12000084E+00,-1.75500107E+00
-16.35000E-03,+541.74995E-03,+1.56999969E+00,-8.62000084E+00,+17.61999893E+00
-16.30000E-03,+354.24995E-03,+3.44499969E+00,-8.62000084E+00,+16.36999893E+00
-16.25000E-03,+479.24995E-03,-3.43000031E+00,-2.37000084E+00,+3.86999893E+00
-16.20000E-03,+635.49995E-03,-2.18000031E+00,-1.74500084E+00,-1.75500107E+00
-16.15000E-03,+760.49995E-03,-2.18000031E+00,-1.74500084E+00,-1.75500107E+00
-16.10000E-03,+447.99995E-03,+2.19499969E+00,-8.62000084E+00,+16.36999893E+00
-16.05000E-03,+385.49995E-03,-930.00031E-03,-4.87000084E+00,+5.74499893E+00
-16.00000E-03,+510.49995E-03,-2.80500031E+00,-2.37000084E+00,+1.36999893E+00
-15.95000E-03,+604.24995E-03,-2.80500031E+00,-1.12000084E+00,-2.38000107E+00
-15.90000E-03,+635.49995E-03,+2.81999969E+00,-9.24500084E+00,+16.99499893E+00
-15.85000E-03,+354.24995E-03,+2.19499969E+00,-8.62000084E+00,+16.99499893E+00
-15.80000E-03,+416.74995E-03,-930.00031E-03,-4.24500084E+00,+5.11999893E+00
-15.75000E-03,+541.74995E-03,-2.80500031E+00,-1.12000084E+00,-2.38000107E+00
-15.70000E-03,+635.49995E-03,-2.18000031E+00,-1.74500084E+00,-2.38000107E+00
-15.65000E-03,+510.49995E-03,+3.44499969E+00,-9.24500084E+00,+15.74499893E+00
-15.60000E-03,+322.99995E-03,+4.06999969E+00,-9.87000084E+00,+16.36999893E+00
-15.55000E-03,+416.74995E-03,+319.99969E-03,-4.87000084E+00,+5.11999893E+00
-15.50000E-03,+572.99995E-03,-2.18000031E+00,-1.74500084E+00,-2.38000107E+00
-15.45000E-03,+666.74995E-03,-2.80500031E+00,-1.12000084E+00,-2.38000107E+00
-15.40000E-03,+416.74995E-03,+4.06999969E+00,-9.24500084E+00,+16.99499893E+00
-15.35000E-03,+354.24995E-03,-930.00031E-03,-4.87000084E+00,+5.74499893E+00
-15.30000E-03,+447.99995E-03,-305.00031E-03,-4.87000084E+00,+3.86999893E+00
-15.25000E-03,+604.24995E-03,-2.18000031E+00,-1.74500084E+00,-2.38000107E+00
-15.20000E-03,+729.24995E-03,+9.06999969E+00,-2.99500084E+00,-4.88000107E+00
-15.15000E-03,+416.74995E-03,+4.06999969E+00,-9.24500084E+00,+15.74499893E+00
-15.10000E-03,+385.49995E-03,+944.99969E-03,-5.49500084E+00,+4.49499893E+00
-15.05000E-03,+541.74995E-03,-2.18000031E+00,-1.74500084E+00,-2.38000107E+00
-15.00000E-03,+635.49995E-03,-1.55500031E+00,-1.74500084E+00,-2.38000107E+00
-14.95000E-03,+635.49995E-03,+4.69499969E+00,-10.49500084E+00,+15.74499893E+00
-14.90000E-03,+354.24995E-03,+5.31999969E+00,-9.87000084E+00,+15.74499893E+00
-14.85000E-03,+447.99995E-03,+944.99969E-03,-5.49500084E+00,+4.49499893E+00
-14.80000E-03,+572.99995E-03,-1.55500031E+00,-2.37000084E+00,-3.00500107E+00
-14.75000E-03,+729.24995E-03,-1.55500031E+00,-1.74500084E+00,-3.00500107E+00
-14.70000E-03,+604.24995E-03,+14.06999969E+00,-11.12000084E+00,+10.11999893E+00
-14.65000E-03,+416.74995E-03,+13.44499969E+00,-12.37000084E+00,+13.86999893E+00
-14.60000E-03,+666.74995E-03,-3.43000031E+00,-3.62000084E+00,+744.99893E-03
-14.55000E-03,+979.24995E-03,-3.43000031E+00,-2.99500084E+00,+1.36999893E+00
-14.50000E-03,+1.26049995E+00,-5.30500031E+00,-4.24500084E+00,+5.74499893E+00
-14.45000E-03,+791.74995E-03,+13.44499969E+00,-11.74500084E+00,+9.49499893E+00
-14.40000E-03,+666.74995E-03,-4.05500031E+00,-2.99500084E+00,+1.36999893E+00
-14.35000E-03,+947.99995E-03,-3.43000031E+00,-2.37000084E+00,+744.99893E-03
-14.30000E-03,+1.19799995E+00,-4.05500031E+00,-2.99500084E+00,+1.36999893E+00
-14.25000E-03,+1.29174995E+00,+14.06999969E+00,-10.49500084E+00,+8.24499893E+00
-14.20000E-03,+729.24995E-03,+14.06999969E+00,-11.12000084E+00,+8.86999893E+00
-14.15000E-03,+760.49995E-03,-3.43000031E+00,-2.37000084E+00,+744.99893E-03
-14.10000E-03,+885.49995E-03,-4.05500031E+00,-2.99500084E+00,+119.99893E-03
-14.05000E-03,+1.01049995E+00,-4.05500031E+00,-3.62000084E+00,+744.99893E-03
-14.00000E-03,+822.99995E-03,+14.69499969E+00,-11.12000084E+00,+8.24499893E+00
-13.95000E-03,+479.24995E-03,+14.06999969E+00,-10.49500084E+00,+7.61999893E+00
-13.90000E-03,+572.99995E-03,-3.43000031E+00,-2.37000084E+00,+119.99893E-03
-13.85000E-03,+729.24995E-03,-4.05500031E+00,-2.99500084E+00,+119.99893E-03
-13.80000E-03,+854.24995E-03,-3.43000031E+00,-2.37000084E+00,-1.13000107E+00
-13.75000E-03,+572.99995E-03,+14.06999969E+00,-10.49500084E+00,+6.99499893E+00
-13.70000E-03,+416.74995E-03,+13.44499969E+00,-7.37000084E+00,-1.13000107E+00
-13.65000E-03,+572.99995E-03,-4.05500031E+00,-2.37000084E+00,-505.00107E-03
-13.60000E-03,+697.99995E-03,-4.05500031E+00,-2.99500084E+00,-505.00107E-03
-13.55000E-03,+854.24995E-03,-3.43000031E+00,-1.74500084E+00,-3.00500107E+00
-13.50000E-03,+447.99995E-03,+14.69499969E+00,-10.49500084E+00,+6.36999893E+00
-13.45000E-03,+447.99995E-03,+2.81999969E+00,-4.87000084E+00,+1.36999893E+00
-13.40000E-03,+572.99995E-03,-3.43000031E+00,-2.37000084E+00,-1.13000107E+00
-13.35000E-03,+729.24995E-03,-2.80500031E+00,-2.37000084E+00,-1.13000107E+00
-13.30000E-03,+697.99995E-03,+15.31999969E+00,-9.87000084E+00,+5.11999893E+00
